# Glossary in tab-separated format -*- coding: utf-8 -*-
AllPsychologyIsFreudian	Br/TodaPsicologiaEFreudiana
AllYourBaseAreBelongToUs	Br/TodaSuaBaseEPertenceANos
AllegedlyFreeGame	Br/JogoSupostamenteGratis
AllergicToEvil	Br/AlergicoAoMal
AlphaBitch	Br/CadelaAlfa
AlreadyTheCase	Br/JaChegamosNestePonto
AlreadyUndoneForYou	Br/JaDesfizPraVoce
AlternateCatchphraseInflection	Br/InflexaoAlternativaDeBordao
AlternateCharacterInterpretation	Br/InterpretacaoAlternativaDePersonagem
AlternateContinuity	Br/ContinuidadeAlternativa
AlternateHistoryTropes	Br/TroposDeHistoriaAlternativa
AlternateTimeline	Br/LinhaDoTempoAlternativa
AlternateUniverse	Br/UniversoAlternativo
AlternateUniverseReedRichardsIsAwesome	Br/ReedRichardsDoUniversoAlternativoEIncrivel
AlternateWorldMap	Br/MapaMundiAlternativo
AlternativeCalendar	Br/CalendarioAlternativo
AluminumChristmasTrees	Br/ArvoresDeNatalDeAluminio
AluminumChristmasTrees	Br/ArvoresNatalinasDeAluminio
AlwaysABiggerFish	Br/SempreHaUmPeixeMaior
AlwaysChaoticEvil	Br/SempreCaoticoEMau
AlwaysClose	Br/SemprePorPouco
AlwaysLawfulGood	Br/SempreLealEBom
AlwaysMale	Br/SempreUmHomem
AmateurSleuth	Br/DetetiveAmador
AmazingTechnicolorWorld	Br/IncrivelMundoEmTechnicolor
AmazonBrigade	Br/BrigadaDeAmazonas
AmazonianBeauty	Br/BelezaAmazoniana
AmbidextrousSprite	Br/DesenhoAmbidestro
AmbitionIsEvil	Br/AmbicaoEDoMal
AmbitionIsEvil	Br/AmbicaoEMaligna
AmericaSavesTheDay	Br/AAmericaSalvaODia
Americanization	Br/{{Americanizacao}}
AmicableAnts	Br/FormigasAmigaveis
AmmunitionConservation	Br/ConservacaoDeMunicao
AmnesiacHero	Br/HeroiAmnesico
AmoralAttorney	Br/AdvogadoAmoral
AmusementPark	Br/ParqueDeDiversoes
AmusementParkOfDoom	Br/ParqueDeDiversoesDaMorte
AnAdventurerIsYou	Br/UmAventureiroEVoce
AnAesop	Br/UmEsopo
AnIndexOfLadiesAndGentlemen	Br/UmIndiceDeDamasECavalheiros
AnIndexOfLadiesAndGentlemen	Br/UmIndiceDeSenhorasESenhores
AnachronicOrder	Br/OrdemAnacronica
AnachronismStew	Br/MisturebaAnacronica
AnachronismStew	Br/SopaDeAnacronismo
AnachronisticOrphanage	Br/OrfanatoAnacronico
AncientArtifact	Br/ArtefatoAntigo
AncientAstronauts	Br/AntigosAstronautas
AncientConspiracy	Br/AntigaConspiracao
AncientConspiracy	Br/ConspiracaoAntiga
AncientTomb	Br/AntigaTumba
AndKnowingIsHalfTheBattle	Br/ESaberEMetadeDaBatalha
AndThatsTerrible	Br/EIssoETerrivel
AndTheAdventureContinues	Br/EAAventuraContinua
AndYouWereThere	Br/EVoceEstavaLa
AndYourLittleDogToo	Br/EOSeuCachorrinhoTambem
AndroclesLion	Br/LeaoDeAndrocles
AngelicTropes	Br/TroposAngelicais
Angst	Br/{{Angustia}}
AnimalIsTheNewMan	Br/AnimalEONovoHomem
AnimalLover	Br/AmanteDosAnimais
AnimalWrongsGroup	Br/GrupoPelosEsquerdosDosAnimais
AnimateInanimateObject	Br/ObjetoInanimadoAnimado
AnimationAgeGhetto	Br/GuetoDaIdadeParaAnimacao
AnimeSettings	Br/AmbientacoesDeAnime
AnnoyingYoungerSibling	Br/IrmaoMaisNovoIrritante
AnonymousBenefactor	Br/BenfeitorAnonimo
AnotherDimension	Br/OutraDimensao
AnthropicPrinciple	Br/PrincipioAntropico
AnthropomorphicVice	Br/VicioAntropomorfico
AntiAntichrist	Br/AntiAnticristo
AntiFrustrationFeatures	Br/MedidasAntiFrustracao
AntiHero	Br/AntiHeroi
AntiHeroSubstitute	Br/SubstitutoDoAntiHeroi
AntiHeroTeam	Br/EquipeDeAntiHerois
AntiIntellectualism	Br/AntiIntelectualismo
AntiRoleModel	Br/PersonagemAntiModelo
AntiSchoolUniformsPlot	Br/TramaAntiUniformeEscolar
AntiTrollingFeatures	Br/MedidasAntiTroll
AntiVillain	Br/AntiVilao
AntiquatedLinguistics	Br/LinguisticaAntiquada
Anvilicious	Br/{{Bigornada}}
AnyoneCanDie	Br/QualquerUmPodeMorrer
ApartmentComplexOfHorrors	Br/CondominioDeHorrores
ApocalypseCult	Br/CultoDoApocalipse
ApocalypticIndex	Br/IndiceApocaliptico
ApocalypticLog	Br/DiarioDoApocalipse
ApocalypticLogistics	Br/LogisticaDoApocalipse
ApparentlyPowerlessPuppetmaster	Br/FantochistaSemControleAparente
AppliedPhlebotinum	Br/CoisoniumAplicado
AppointmentTelevision	Br/TelevisaoAgendada
ArcFatigue	Br/FadigaDeArco
ArcHero	Br/HeroiDeArco
ArcWords	Br/PalavrasDeArco
ArchetypalCharacter	Br/PersonagemArquetipico
ArchiveBinge	Br/MaratonaDeArquivo
Area51	Br/Area51
ArgentineLiterature	Br/LiteraturaArgentina
ArkhamsRazor	Br/NavalhaDeArkham
ArmedWithCanon	Br/ArmadoComOCanone
ArsonMurderAndAdmiration	Br/RouboHomicidioEAdmiracao
ArsonMurderAndJaywalking	Br/RouboAssassinatoEAtravessarForaDaFaixa
ArsonMurderAndJaywalking	Br/RouboHomicidioEAtravessarForaDaFaixa
ArsonMurderAndLifesaving	Br/RouboHomicidioESalvamentoDeVida
Art/LadyLiberty	BrArte/EstatuaDaLiberdade
ArtShift	Br/MudancaArtistica
ArtShiftedSequel	Br/SequenciaComMudancaArtistica
ArtifactOfHope	Br/ArtefatoDaEsperanca
ArtifactTitle	Br/NomeArtefato
ArtisticLicense	Br/LicencaArtistica
ArtisticLicenseBiology	Br/LicencaArtisticaParaBiologia
AsHimself	Br/ComoSiMesmo
AsLethalAsItNeedsToBe	Br/TaoLetalQuantoNecessario
AsLongAsItSoundsForeign	Br/DesdeQueSoeEstrangeiro
AsLongAsThereIsEvil	Br/EnquantoOMalExistir
AscendedDemon	Br/DemonioAscendido
AscendedFanFic	Br/FanficAscendida
AscendedToAHigherPlaneOfExistence	Br/AscenderParaUmPlanoSuperiorDaExistencia
AsceticAesthetic	Br/EsteticaAscetica
AssPull	Br/SolucaoTiradaDaBunda
AsskickingLeadsToLeadership	Br/ChutarTraseirosLevaALideranca
AstralProjection	Br/ProjecaoAstral
AtTheCrossroads	Br/NaEncruzilhada
AthleticArenaLevel	Br/FaseDeArenaAtletica
Atlantis	Br/{{Atlantida}}
AttractiveBentGender	Br/GeneroTrocadoAtraente
AudienceAlienatingEra	Br/EraDeAlienacaoDoPublico
AudienceReaction	Br/ReacaoDoPublico
AudienceReactions	Br/ReacoesDoPublico
AudienceShift	Br/MudancaDePublico
AudienceSurrogate	Br/SuplenteDaPlateia
AuthorAppeal	Br/ApeloDoAutor
AuthorAvatar	Br/AvatarDoAutor
AuthorFilibuster	Br/ObstrucaoDeAutor
