# Glossary in tab-separated format -*- coding: utf-8 -*-
ChivalrousPervert	Br/CavalheiroPervertido
ChristmasElves	Br/ElfosNatalinos
ChristmasRushed	Br/AceleradoParaONatal
ChristmasTown	Br/CidadeDoNatal
ChronicHeroSyndrome	Br/SindromeDeHeroismoCronico
ChronicVillainy	Br/VilaniaCronica
ChuckCunninghamSyndrome	Br/SindromeDeChuckCunningham
ChurchMilitant	Br/MilitanteDaIgreja
CigarChomper	Br/MascadorDeCharuto
CigarFuseLighting	Br/AcenderOPavioComOCharuto
CigaretteBurns	Br/QueimadurasDeCigarro
CigaretteOfAnxiety	Br/CigarroDaAnsiedade
CircleOfStandingStones	Br/CirculoDePedrasVerticais
CircusIndex	Br/IndiceDoCirco
CityInABottle	Br/CidadeEmUmaGarrafa
CityNoir	Br/CidadeNoir
CityOfAdventure	Br/CidadeDeAventuras
CityOfCanals	Br/CidadeDeCanais
CityOfEverywhere	Br/CidadeDeTodoLugar
CityOfGold	Br/CidadeDeOuro
CityOfSpies	Br/CidadeDeEspioes
CityWithNoName	Br/CidadeSemNome
ClassicalAntiHero	Br/AntiHeroiClassico
CleanUpTheTown	Br/LimparACidade
ClearMyName	Br/LimparMeuNome
ClearMyName	Br/LimparONome
Cliche	Br/{{Cliche}}
Cliffhanger	Br/NaBeiraDoPenhasco
CliffhangerWall	Br/ContornandoOPenhasco
ClimacticMusic	Br/MusicaClimatica
ClimbingClimax	Br/ClimaxDeEscalada
ClimbingTheCliffsOfInsanity	Br/EscalarAsFalesiasDaInsanidade
ClipShow	Br/SerieDeClipes
ClockKing	Br/ReiRelogio
ClockTower	Br/TorreDoRelogio
CloningGambit	Br/GambitoDoClone
CloseEnoughTimeline	Br/LinhaTemporalBoaOBastante
CloseKnitCommunity	Br/ComunidadeUnida
CloserThanTheyAppear	Br/MaisPertoDoQueParece
Cloudcuckooland	Br/TerraDeAvoados
Cloudcuckooland	Br/TerraDeLunaticos
Cloudcuckooland	Br/{{Cucolandia}}	Derivado de "As Aves", por Aristófanes.
Cloudcuckoolander	Br/DiLuaLovegood
Cloudcuckoolander	Br/OAvoado
Cloudcuckoolander	Br/OLunatico
Cloudcuckoolanguage	Br/DialetoLunatico
ClueEvidenceAndASmokingGun	Br/PistasEvidenciasEUmaArmaFumegante
ClusterFBomb	Br/GranadaProfanica
CobwebJungle	Br/SelvaDeTeias
CockFight	Br/RinhaDeGalo
CockroachesWillRuleTheEarth	Br/BaratasVaoDominarATerra
CoincidentalBroadcast	Br/TransmissaoCoincidente
ColdBloodedTorture	Br/TorturaASangueFrio
CollapsingLair	Br/CovilEmColapso
ColonelKilgore	Br/CoronelKilgore
ColonizedSolarSystem	Br/SistemaSolarColonizado
ColorCodedForYourConvenience	Br/CodigoDeCoresParaSuaConveniencia
ColorMotif	Br/TemaCromatico
ColourCodedForYourConvenience	Br/CodigoDeCoresParaSuaConveniencia
CombatPragmatist	Br/LutadorPragmatico
ComedicHero	Br/HeroiComico
ComedicSociopathy	Br/SociopatiaComica
ComicBook	BrQuadrinhos
ComicBook/JudgeDredd	BrQuadrinhos/JuizDredd
ComicBook/JusticeLeagueOfAmerica	BrQuadrinhos/LigaDaJusticaDaAmerica
ComicBook/WonderWoman	BrQuadrinhos/MulherMaravilha
ComicBookTime	Br/FusoQuadrinhos
ComicBookTropes	Br/TroposDeHistoriasEmQuadrinhos
ComicStrip/CalvinAndHobbes	BrQuadrinhos/CalvinEHaroldo
ComicTrio	Br/TrioComico
ComicallyInvincibleHero	Br/HeroiComicamenteInvencivel
ComicallyMissingthePoint	Br/ComicamentePerdendoOPonto
ComicallyWordyContract	Br/ContratoComicamenteGrande
CommandingCoolness	Br/ComandandoEstilo
CommitmentAnxiety	Br/ReceioDeCompromisso
Commune	Br/{{Comuna}}
CompanyCrossReferences	Br/ReferenciaCruzadaCorporativa
CompanyTown	Br/CidadeCorporativa
CompensatingForSomething	Br/CompensandoPorAlgo
CompetenceZone	Br/ZonaDeCompetencia
CompetitiveBalance	Br/EquilibrioCompetitivo
CompleteImmortality	Br/ImortalidadeCompleta
CompleteMonster	Br/MonstroCompleto
ComplexityAddiction	Br/VicioEmComplexidade
CompressedVice	Br/DefeitoComprimido
ConMan	Br/OGolpista
ConMan	Br/OTrambiqueiro
ConMan	Br/OVigarista
CondemnedByHistory	Br/CondenadoPelaHistoria
Conflict	Br/{{Conflito}}
ConscienceMakesYouGoBack	Br/ConscienciaFazVoceVoltar
ConservationOfDetail	Br/LeiDaConservacaoDeDetalhes
ConservationOfNinjutsu	Br/ConservacaoDeNinjutsu
Consistency	Br/{{Consistencia}}
ConspiracyTheorist	Br/TeoricoDaConspiracao
ConstructedWorld	Br/MundoConstruido
ConsummateLiar	Br/MentirosoContumaz
ContagiousHeroism	Br/HeroismoContagioso
ContainerMaze	Br/LabirintoDeConteineres
ContemplationLocation	Br/LugarDeContemplacao
ContestedSequel	Br/SequenciaContestada
ContinuingIsPainful	Br/ContinuarEDolorido
ContinuityCavalcade	Br/CavalgadaDeReferencias
ContinuityDrift	Br/DesvioDeContinuidade
ContinuityDrift	Br/DistanciamentoDaContinuidade
ContinuityLockout	Br/BloqueioDeContinuidade
ContinuityNod	Br/AcenoParaAContinuidade
ContinuityPorn	Br/PornoDeContinuidade
ContinuitySnarl	Br/EmaranhadoDeContinuidade
ContractualImmortality	Br/ImortalidadeContratual
ContrastingSequelAntagonist	Br/AntagonistaContrastanteDaSequencia
ContrastingSequelMainCharacter	Br/ProtagonistaContrastanteDaSequencia
ContrastingSequelSetting	Br/AmbientacaoContrastanteDaSequencia
ContrivedCoincidence	Br/CoincidenciaConveniente
ContrivedStupidityTropes	Br/TroposDeEstupidezConveniente
ConvenientMiscarriage	Br/AbortoEspontaneoConveniente
ConvenientQuesting	Br/MissoesConvenientes
ConvenientlyInterruptedDocument	Br/DocumentoConvenientementeInterrompido
ConversationalTroping	Br/TropagemConversacional
CookingDuel	Br/DueloDeCulinaria
CoolAirship	Br/DirigivelIrado
CoolBoat	Br/BarcoIrado
CoolGarage	Br/GaragemIrada
CoolHouse	Br/CasaIrada
CoolOldGuy	Br/CaraVelhoIrado
CoolPeopleRebelAgainstAuthority	Br/GenteBacanaSeRebelaContraAsAutoridades
CoolShip	Br/NaveIrada
CoolStarship	Br/EspaconaveIrada
CoolTeacher	Br/ProfessorLegal
CoolUncle	Br/TioLegal
CoolestClubEver	Br/OClubeMaisIradoDeTodos
CopsAndDetectives	Br/PoliciaisEDetetives
CorpseLand	Br/TerraDeCadaveres
CorruptChurch	Br/IgrejaCorrupta
CosmeticallyAdvancedPrequel	Br/PrequenciaCosmeticamenteAvancada
CosmicChessGame	Br/JogoDeXadrezCosmico
CosmicChessGame	Br/XadrezCosmico
CosmicHorrorStory	Br/HistoriaDeHorrorCosmico
CosmicPlaything	Br/BrinquedoCosmico
CosmicRetcon	Br/RetconCosmico
CouldntFindALighter	Br/NaoConseguiAcharUmIsqueiro
CountrysideIndex	Br/IndiceInteriorano
CoupleBomb	Br/CasalBomba
CourteousCanadian	Br/CanadenseCortes
CousinOliver	Br/PrimoOliver
CowardiceCallout	Br/ApontarACovardice
CowardlyLion	Br/CovardementeLeao
CowboyBebopAtHisComputer	Br/CowboyBebopEmSeuComputador
CowboyCop	Br/PolicialCauboi
CrappyCarnival	Br/FestivalPodre
CrapsaccharineWorld	Br/MundoLixosoAdocicado
CrapsackOnlyByComparison	Br/LixosoSomenteEmComparacao
CrapsackWorld	Br/MundoLixoso
CrapsackWorld	Br/MundoSacoDeLixo
CreateYourOwnHero	Br/CriarSeuProprioHeroi
CreateYourOwnVillain	Br/CriarOSeuProprioVilao
CreatingLife	Br/CriarVida
CreativeDifferences	Br/DiferencasCriativas
Creator	BrCriador
Creator/MichaelMoorcock	BrCriador/MichaelMoorcock
Creator/PoulAnderson	BrCriador/PoulAnderson
Creator/RogerEbert	BrCriador/RogerEbert
CreatorBreakdown	Br/ColapsoDoCriador
CreatorProvincialism	Br/ProvincialismoDoCriador
CreatorsApathy	Br/ApatiaDoCriador
CreatorsPet	Br/QueridinhoDoCriador
CreepyBasement	Br/PoraoAssustador
CreepyCathedral	Br/CatedralAssustadora
CreepyCave	Br/CavernaAssustadora
CreepyCemetery	Br/CemiterioAssustador
CreepyGood	Br/AssustadorEBom
CrimeAndPunishmentSeries	Br/SeriesDeCrimeECastigo
CrimefightingWithCash	Br/CombaterOCrimeComDinheiro
CriminalConvention	Br/ConvencaoCriminal
CriminalMindGames	Br/JogosMentaisCriminosos
Criminals	Br/{{Criminosos}}
CringeComedy	Br/ComediaCringe
CringeComedy	Br/ComediaEmbaracosa
CrisisCrossover	Br/CruzamentoDeCrise
CrossesTheLineTwice	Br/PassouDoPontoDuasVezes
CrossingTheDesert	Br/CruzarODeserto
Crossover	Br/Cruzamento
CruelAndUnusualDeath	Br/MorteEstranhamenteCruel
CruelMercy	Br/MisericordiaCruel
CrutchCharacter	Br/PersonagemMuleta
CryForTheDevil	Br/ChorarPeloDiabo
CrystalLandscape	Br/PaisagemDeCristal
Cuckold	Br/{{Corno}}
Cuckoosnarker	Br/LunaticoSarcastico
CueTheFallingObject	Br/MomentoDoObjetoEmQueda
CultColony	Br/ColoniaCultista
CulturalCrossReference	Br/ReferenciaCulturalCruzada
CultureChopSuey	Br/MexidaoDeCulturas
CurseCutShort	Br/XingamentoInterrompido
CursedWithAwesome	Br/AmaldicoadoComAlgoIncrivel
CutAndPasteEnvironments	Br/AmbientesDeCopiarEColar
CutAndPasteSuburb	Br/PeriferiaDeCopiaECola
CuteBruiser	Br/BrutaFofinha
CuteLittleFangs	Br/PequenasPresasFofas
CutenessProximity	Br/ProximidadeDaFofura
CuteSlimeMook	Br/CapangaSlimeFofinho
CutesyNameTown	Br/CidadeComNomeFofo
CutsceneDrop	Br/DeslocamentoDeCinematica
CutsceneIncompetence	Br/IncompetenciaDeCinematica
CutscenePowerToTheMax	Br/PoderMaximoNaCinematica
Cyberspace	Br/{{Ciberespaco}}
CycleOfRevenge	Br/CicloDeVinganca
CynicismTropes	Br/TroposDeCinismo
DadaAd	Br/DadaAnuncio
DadaComics	Br/DadaQuadrinhos
DaddyHadAGoodReasonForAbandoningYou	Br/PapaiTeveUmBomMotivoPraTeAbandonar
DaintyCombat	Br/CombateGracioso
DamselInDistress	Br/DonzelaEmPerigo
DamselOutOfDistress	Br/DonzelaForaDePerigo
DamselScrappy	Br/DonzelaOdiada
DancesAndBalls	Br/DancasEBailes
DangerInTheGalacticCore	Br/PerigoNoNucleoGalactico
DangerousForbiddenTechnique	Br/TecnicaProibidaPerigosa
DangerousWorkplace	Br/AmbienteDeTrabalhoPerigoso
DarkActionGirl	Br/GarotaSombriaDeAcao
DarkAndTroubledPast	Br/PassadoSombrioEComplicado
DarkFantasy	Br/FantasiaSombria
DarkIsNotEvil	Br/AsTrevasNaoSaoMas
DarkMagicalGirl	Br/GarotaMagicaSombria
DarkShepherd	Br/PastorSombrio
DarkWorld	Br/MundoDasTrevas
DarkerAndEdgier	Br/MaisSombrioEPesado
DarkestAfrica	Br/AAfricaMaisEscura
DarthWiki	BrWikiSombria	"Darth Wiki" é um namespace.
DarthWiki/RuinedForever	BrWikiSombria/ArruinadoParaSempre
DarthWiki/TVTropesRuinedYourLife	BrWikiSombria/TVTropesArruinouSuaVida
DastardlyWhiplash	Br/VigaristaCaricato
DatedHistory	Br/HistoriaDatada
DawnOfTheWildWest	Br/AlvoradaDoVelhoOeste
DawnOfTheWildWest	Br/NascimentoDoVelhoOeste
DawsonCasting	Br/ElencoDeDawson
DaycareNightmare	Br/CrechePesadelo
DaydreamBeliever	Br/CrenteDevaneiante
DaydreamBeliever	Br/CrenteLunatico
DaysOfFuturePast	Br/DiasDeUmPassadoFuturo
DeadGuyJunior	Br/DefuntoDaSilvaFilho
DeadGuyJunior	Br/DefuntoDaSilvaJunior
Deadpan Snarker	Sarcástico Sério
DeadpanSnarker	Br/SarcasticoSerio
DealWithTheDevil	Br/PactoComODemonio
DealWithTheDevil	Br/PactoComODiabo
DeathByGenreSavviness	Br/MortePorConhecimentoDoGenero
DeathByMaterialism	Br/MortePorMaterialismo
DeathByOriginStory	Br/MortePorHistoriaDeOrigem
DeathEqualsRedemption	Br/MorteSignificaRedencao
DeathGlare	Br/OlharDaMorte
DeathIsCheap	Br/MorrerEBarato
DeathIsCheap	Br/MorteEBarata
DeathMountain	Br/MontanhaDaMorte
DeathOfAThousandCuts	Br/MortePorMilCortes
DeathRay	Br/RaioDaMorte
DeathSeeker	Br/BuscadorDaMorte
DeathWorld	Br/MundoDeMorte
DeathWorld	Br/MundoDeMorte
DecadentCourt	Br/CorteDecadente
DeconstructedTrope	Br/TropoDesconstruido
Deconstruction	Br/{{Desconstrucao}}
DecoyDamsel	Br/DonzelaIsca
DecoyProtagonist	Br/ProtagonistaIsca
DefeatMeansFriendship	Br/DerrotaSignificaAmizade
DefendsAgainstTheirOwnKind	Br/DefenderContraOsSeus
DefrostingIceQueen	Br/DegeloDaRainhaDeGelo
DelayedOhCrap	Br/VishFerrouAtrasado
DeletionAsPunishment	Br/ApagamentoComoPunicao
DeliberateFlawRetcon	Br/RetconDeFalhaDeliberada
DeliberateValuesDissonance	Br/DissonanciaDeValoresDeliberada
DelightfulDragon	Br/DragaoAgradavel
DeliverUsFromEvil	Br/LivraiNosDoMal
DemiurgeArchetype	Br/ArquetipoDemiurgico
DemolitionsExpert	Br/EspecialistaEmDemolicao
DemonicPossession	Br/PossessaoDemoniaca
Demonization	Br/{{Demonizacao}}
DenOfIniquity	Br/CovilDeIniquidade
DenialOfDiagonalAttack	Br/NegacaoDeAtaqueDiagonal
Denouement	Br/{{Desfecho}}
DenserAndWackier	Br/MaisDensoEEstranho
DepartmentOfRedundancyDepartment	Br/DepartamentoDeRedundanciaRedundante
DependingOnTheArtist	Br/DependeDoArtista
DependingOnTheWriter	Br/DependeDoRoteirista
DependingOnTheWriter	Br/DependendoDoEscritor
DepravedKidsShowHost	Br/ApresentadorDepravadoDeProgramaInfantil
DerangedAnimation	Br/AnimacaoPerturbada
DerelictGraveyard	Br/CemiterioDeNaviosAbandonados
DescriptionCut	Br/CorteDescritivo
DesertTropes	Br/TroposDeDeserto
DesertedIsland	Br/IlhaDeserta
DesignatedGirlFight	Br/LutaDeGarotasDesignadas
DesignatedHero	Br/HeroiDesignado
DesignatedLoveInterest	Br/InteresseAmorosoDesignado
DesignatedMonkey	Br/CorinhoDesignado
DesignatedPointMan	Br/HomemDePontaDesignado
DesignatedVillain	Br/VilaoDesignado
DesolationShot	Br/EnquadramentoDaDesolacao
DespairEventHorizon	Br/HorizonteDesesperadoDeEventos
DestroyTheVillainsWeapon	Br/DestruirAArmaDoVilao
DestructiveSaviour	Br/SalvadorDestrutivo
Determinator	Br/ODeterminado
DeterminedDoctor	Br/DoutorDeterminado
DeusAngstMachina	Br/DeusAngstMachina
DeusEstMachina	Br/DeusEstMachina
DeusExMachina	Br/DeusExMachina
Deuteragonist	Br/{{Deuteragonista}}
DevelopersForesight	Br/AntecipacaoDoDesenvolvedor
DevelopmentHell	Br/InfernoDoDesenvolvimento
DevilComplex	Br/ComplexoDeDiabo
DevilInPlainSight	Br/DiaboEmPlenaVista
DiagnosisOfGod	Br/DiagnosticoDeDeus
DickDastardlyStopsToCheat	Br/DickVigaristaFicaParaTrapacear
DidNotGetTheGirl	Br/NaoConseguiuAGarota
DidTheyOrDidntThey	Br/ElesFizeramOuNao
DidWeJustHaveTeaWithCthulhu	Br/AcabamosDeTomarChaComCthulhu
DidYouDie	Br/VoceMorreu
DidYouJustPunchOutCthulhu	Br/VoceAcabouDeNocautearCthulhu
DidntWeUseThisJokeAlready	Br/JaNaoUsamosEssaPiadaAntes
DiedDuringProduction	Br/MorreuDuranteAProducao
DiedOnTheirBirthday	Br/MorreuNoProprioAniversario
DifficultButAwesome	Br/DificilPoremFantastico
DifficultyLevels	Br/NiveisDeDificuldade
DifficultySpike	Br/SaltoNaDificuldade
DiligentHeroSlothfulVillain	Br/HeroiDiligenteVilaoPreguicoso
DirtyBusiness	Br/TrabalhoSujo
DisabledSnarker	Br/SarcasticoPCD
DisappearedDad	Br/PaiDesaparecido
DisappearedDad	Br/PaiQueFoiComprarCigarro
DisappointedByTheMotive	Br/DesapontadoPeloMotivo
DisasterDominoes	Br/DominoDeDesastre
DiscontinuityNod	Br/AcenoParaADescontinuidade
DiscreditedTrope	Br/TropoDesacreditado
DishingOutDirt	Br/DistribuirPedradas
DisintegratorRay	Br/FeixeDesintegrador
DisintegratorRay	Br/RaioDesintegrador
DisneyDeath	Br/MorteDisney
DisneyDeath	Br/MorteEstiloDisney
Disneyfication	Br/{{Disneyficacao}}
DisposableSexWorker	Br/ProfissionalSexualDescartavel
DisposableWoman	Br/MulherDescartavel
DisproportionateRestitution	Br/RestituicaoDesproporcional
DisproportionateRetribution	Br/RetribuicaoDesproporcional
DisproportionateReward	Br/RecompensaDesproporcional
DisqualificationInducedVictory	Br/VitoriaInduzidaPorDesqualificacao
DistancedFromCurrentEvents	Br/DistanciadoDosEventosRecentes
DistantSequel	Br/SequenciaDistante
DistinguishedGentlemansPipe	Br/CachimboDoCavalheiroDistinto
DistressBall	Br/BolaDoPerigo
DistressedDude	Br/PrincesoEmPerigo	Literalmente seria "cara em perigo", mas o uso de "princeso" e "donzelo" ganhou alguma tração.
DivideAndConquer	Br/DividirParaConquistar
DividedForAdaptation	Br/DivididoParaAAdaptacao
DividedStatesOfAmerica	Br/EstadosDivididosDaAmerica
DivorceIsTemporary	Br/DivorcioETemporario
DoNotDoThisCoolThing	Br/NaoFacaEssaCoisaIrada
DoNotTauntCthulhu	Br/NaoProvoqueCthulhu
DodgeTheBullet	Br/DesviarDaBala
DoesNotLikeSpam	Br/NaoGostaDeFigado	O "Spam" não é realmente famoso no Brasil, mas o fígado é uma comida amplamente rejeitada. Assim como passas.
DomedHometown	Br/CidadeEmUmaRedoma
DomesticAbuse	Br/AbusoDomestico
DontExplainTheJoke	Br/NaoExpliqueAPiada
DontTouchItYouIdiot	Br/NaoToqueNissoSeuIdiota
DontTryThisAtHome	Br/NaoTenteIssoEmCasa
DontYouDarePityMe	Br/NaoOuseTerPenaDeMim
DoomMagnet	Br/ImaDeCaos
DoomedByCanon	Br/CondenadoPeloCanone
DoomedMoralVictor	Br/VitoriosoMoralCondenado
DoomsdayDevice	Br/DispositivoDoJuizoFinal
Doorstopper	Br/PesoDePorta
DorkKnight	Br/CavaleiroTonto
DoubleEntendre	Br/PiadaDeDuploSentido
DoubleMeaning	Br/DuploSentido
DoubleReverseQuadrupleAgent	Br/AgenteQuadruploDuploInvertido
DoubleStandard	Br/DoisPesosDuasMedidas
DownTheRabbitHole	Br/DescendoATocaDoCoelho
DownerEnding	Br/FinalDepressivo
DrFakenstein	Br/DrFakenstein
DrFrankenstein	Br/DrFrankenstein
DracoInLeatherPants	Br/DracoEmCalcasDeCouro
DramaticIrony	Br/IroniaDramatica
DreamLand	Br/TerraDosSonhos
DreamWithinADream	Br/SonhoDentroDoSonho
DreamingOfThingsToCome	Br/SonhandoComAquiloQueVira
Dreamville	Br/VilaDosSonhos
DressCodedForYourConvenience	Br/CodigoDeVestimentaParaSuaConveniencia
DriveInTheater	Br/CinemaDriveIn
DrivenToMadness	Br/LevadoALoucura
DroppedABridgeOnHim	Br/CaiuUmaPonteNele
DrunkOnMilk	Br/BebadoDeLeite
DrunkOnTheDarkSide	Br/InebriadoPeloLadoNegro
DualWielding	Br/EmpunhaduraDupla
DubInducedPlotlineChange	Br/MudancaDeTramaInduzidaPorDublagem
DudeNotFunny	Br/CaraNaoFoiLegal
DudeWheresMyRespect	Br/CaraCadeMeuRespeito
DudeWheresMyReward	Br/CaraCadeMinhaRecompensa
DudleyDoRightStopsToHelp	Br/DudleyCertinhoFicaParaAjudar	Derivado do filme "Polícia Desmontada" que em inglês é "Dudley Do-Right".
DugTooDeep	Br/CavaramFundoDemais
DumbIsGood	Br/IdiotaEBom	"Idiota é bom".
DumbMuscle	Br/MusculoImbecil
DumbassHasAPoint	Br/OIdiotaTemRazao
DumpMonths	Br/MesesDeEntulho
DungeonBasedEconomy	Br/EconomiaBaseadaEmMasmorras
DungeonMastersGirlfriend	Br/NamoradaDoMestreDaMasmorra
DurableDeathTrap	Br/ArmadilhaMortalDuradoura
DuringTheWar	Br/DuranteAGuerra
DyingMomentOfAwesome	Br/MomentoIncrivelDeMorte
DyingTown	Br/CidadeEmDeclinio
DynamicAkimbo	Br/DinamicaAkimbo
DynamicDifficulty	Br/DificuldadeDinamica
DysfunctionJunction	Br/JuncaoDisfuncional
DysonSphere	Br/EsferaDeDyson
Dystopia	Br/{{Distopia}}
DystopiaIsHard	Br/DistopiaEDificil
EarnYourFun	Br/ConquistarADiversao
EarnYourFun	Br/ConquisteSuaDiversao
EarnYourHappyEnding	Br/ConquistarOFinalFeliz
EarnYourHappyEnding	Br/ConquisteSeuFinalFeliz
EarnYourHappyEnding	Br/MerecaSeuFinalFeliz
EarthDrift	Br/DistanciamentoDaTerra
EarthIsYoung	Br/ATerraEJovem
EarthyBarefootCharacter	Br/PersonagemTerrenoEDescalco
EasilyConqueredWorld	Br/MundoFacilmenteConquistado
EasilyDetachableRobotParts	Br/PartesRoboticasQueDesencaixamFacil
EasilyImpressed	Br/FacilmenteImpressionavel
EasingIntoTheAdventure	Br/AAventuraVemDeMansinho
EasyModeMockery	Br/ZombariaDoModoFacil
EasyRoadToHell	Br/ViaExpressaParaOInferno
EatingEstablishments	Br/EstabelecimentosDeAlimentacao
EccentricMentor	Br/MentorExcentrico
EcoTerrorist	Br/EcoTerrorista
EditWar	Br/GuerraDeEdicoes
EerieArcticResearchStation	Br/EstacaoSinistraDePesquisaNoArtico
EightDeadlyWords	Br/OitoPalavrasMortais
EinsteinHair	Br/CabeleiraDeEinstein
ElaborateUndergroundBase	Br/BaseSubterraneaElaborada
EldritchAbomination	Br/AbominacaoSobrenatural
EldritchLocation	Br/LugarAlienigena
ElephantGraveyard	Br/CemiterioDeElefantes
ElixirOfLife	Br/ElixirDaVida
ElmuhFuddSyndwome	Br/SindlomeDeCebolinha
Elseworld	Br/EmOutroMundo
EmbodimentOfVirtue	Br/PersonificacaoDaVirtude
EmotionalBruiser	Br/BrutoEmocional
EmotionalTorque	Br/TorqueEmocional
EmotionsVsStoicism	Br/EmocoesVersusEstoicismo
EmpathicWeapon	Br/ArmaEmpatica
EmpathyDollShot	Br/EnquadramentoEmpaticoDeBrinquedo
EmptyShell	Br/CascoVazio
EnchantedForest	Br/FlorestaEncantada
EnclosedSpace	Br/EspacoFechado
EndOfAnAge	Br/OFimDeUmaEra
EndOfAnEra	Br/OFimDeUmaEra
EndOfTheWorldSpecial	Br/EspecialDeFimDoMundo
EndlessCorridor	Br/CorredorInterminavel
EnemyMine	Br/InimigoDoMeuInimigo
EnemyMine	Br/TreguaTemporaria
EnergyWeapon	Br/ArmaDeEnergia
EnforcedTechnologyLevels	Br/NiveisImpostosDeTecnologia
EnglishRose	Br/RosaInglesa
EntendreFailure	Br/DuploSentidoFalho
EnvironmentalSymbolism	Br/SimbolismoAmbiental
EpilepticTree	Br/ArvoresEpileticas
EpiphanicPrison	Br/PrisaoEpifanica
EpiphanyTherapy	Br/TerapiaDaEpifania
EsotericHappyEnding	Br/FinalFelizEsoterico
EtTuBrute	Br/AteTuBrutus
EternalHero	Br/HeroiEterno
EternalProhibition	Br/ProibicaoEterna
EthicalSlut	Br/VadiaEtica
EuphemismBuster	Br/DestruidorDeEufemismo
EuphemisticName	Br/NomeEufemista
EvenBetterSequel	Br/SequenciaAindaMelhor
EvenEvilHasStandards	Br/AteOMalTemLimites
EvenTheLovingHeroHasHatedOnes	Br/AteOAmorosoHeroiPossuiSeusOdiados
EventFlag	Br/SinalizadorDeEvento
EveryEpisodeEnding	Br/TodoFinalDeEpisodio
EveryProperLadyShouldCurtsy	Br/TodaDamaDeRespeitoDeveCortejar
EverybodyDiesEnding	Br/TodoMundoMorre
EverybodyLaughsEnding	Br/FinalTodoMundoRindo
EverybodySmokes	Br/TodoMundoFuma
EverybodysDeadDave	Br/EstaoTodosMortosDave
EveryoneIsASuper	Br/TodoMundoEUmSuper
EveryoneMeetsEveryone	Br/TodosEncontramATodos
EverythingTryingToKillYou	Br/TudoTentandoTeMatar
EvidenceDungeon	Br/MasmorraDeEvidencias
EvilAllAlong	Br/EraDoMalOTempoTodo
EvilCannotComprehendGood	Br/OMalNaoPodeEntenderOBem
EvilCounterpart	Br/ContraparteDoMal
EvilEvolves	Br/OMalEvolui
EvilInc	Br/DoMalLtda
EvilIsCool	Br/OMalELegal
EvilIsNotAToy	Br/OMalNaoEUmBrinquedo
EvilIsPetty	Br/OMalEMesquinho
EvilLaugh	Br/RisadaMalefica
EvilMatriarch	Br/MatriarcaDoMal
EvilMinions	Br/LacaiosDoMal
EvilOverlord	Br/SoberanoDoMal
EvilOverlordList	Br/ListaDoSoberanoDoMal
EvilPlan	Br/PlanoDoMal
EvilPowerVacuum	Br/VacuoDePoderMaligno
EvilRedeemedInACan	Br/OMalRedimidoEmUmaGarrafa
EvilSorcerer	Br/FeiticeiroDoMal
EvilTaintedThePlace	Br/OMalContaminouOLugar
EvilTowerOfOminousness	Br/OminosaTorreMaligna
EvilTropes	Br/TroposDoMal
EvilTwin	Br/GemeoDoMal
EvilVersusEvil	Br/MalContraMal
EvilerThanThou	Br/MaisMalvadoQueTu
EvilerThanThou	Br/SouMaisMalvadoQueVoce
EvilutionaryBiologist	Br/BiologistaMalvolucionario
ExBigBad	Br/ExMalvadao
ExactWords	Br/PalavrasExatas
ExactlyWhatItSaysOnTheTin	Br/ExatamenteOQueEstaEscrito
ExaggeratedTrope	Br/TropoExagerado
ExaggeratedTrope	Br/TropoExagerado
ExaltedTorturer	Br/TorturadorExaltado
ExcitedKidsShowHost	Br/ApresentadorAnimadoDeProgramaInfantil
ExcusePlot	Br/OEnredoESoUmaDesculpa
ExecutiveMeddling	Br/InterferenciaExecutiva
ExecutiveVeto	Br/VetoExecutivo
ExoticBackdropSetting	Br/AmbientacaoExoticaDeFundo
ExpandedStatesOfAmerica	Br/EstadosExpandidosDaAmerica
ExpandedUniverse	Br/UniversoExpandido
ExpansionPackWorld	Br/PacoteDeExpansaoMundial
ExpendableClone	Br/CloneDescartavel
ExperiencedProtagonist	Br/ProtagonistaExperiente
ExplainExplainOhCrap	Br/ExpliqueExpliqueVishFerrou
ExplosiveCigar	Br/CharutoExplosivo
ExponentialPlotDelay	Br/AtrasoExponencialDeTrama
Exposition	Br/{{Exposicao}}
ExternalRetcon	Br/RetconExterno
ExtraStrengthMasquerade	Br/MascaramentoExtraForte
ExtranormalInstitute	Br/InstitutoExtranormal
ExtremeDoormat	Br/CapachoExtremo
ExtremeOmnisexual	Br/OmnisexualExtremo
ExtremeOmnivore	Br/OnivoroExtremo
ExtremelyDustyHome	Br/CasaExtremamentePoeirenta
FaceHeelTurn	Br/PassandoProLadoDosViloes
FaceHeelTurn	Br/PassarParaOLadoDosViloes
FaceOfAThug	Br/CaraDeBandido
FaceRealisation	Br/PercepcaoDeBondade
FaceRealization	Br/PercepcaoDeBondade
FailedFutureForecast	Br/PrevisaoErradaDoFuturo
FailureHero	Br/HeroiFalho
FailureIsTheOnlyOption	Br/FalharEAUnicaOpcao
FailureKnight	Br/CavaleiroFalho
FairForItsDay	Br/JustoParaSeuTempo
FairyGodmother	Br/FadaMadrinha
FakeDefector	Br/PseudoDesertor
FakeDefector	Br/FalsoDesertor
FakeDifficulty	Br/DificuldadeArtificial
FakeLongevity	Br/LongevidadeFalsa
FakeNationality	Br/NacionalidadeFalsa
FakeTown	Br/CidadeFalsa
